symbol,length,batch_number
C16orf87,154,70
RNF11,154,70
FAM162A,154,70
RFK,155,70
ID1,155,71
FGF1,155,71
ZNHIT3,155,71
SREK1IP1,155,71
RNASE1,156,72
RPS27A,156,72
LMO1,156,72
C15orf61,157,72
UXT,157,73
TMEM50A,157,73
NUDCD2,157,73
AP1S1,158,73
RPS11,158,74
TMEM50B,158,74
MZT2A,158,74
UBE2I,158,74
BTG2,158,75
AGTRAP,159,75
HSPB9,159,75
SNRPC,159,75
BIK,160,76
TGFA,160,76
MAX,160,76
TWIST2,160,76
PTGES3,160,77
MPHOSPH6,160,77
CZIB,160,77
GADD45B,160,77
LAMTOR1,161,78
ATP5PD,161,78
LDAF1,161,78
CAV2,162,78
MAFG,162,79
PDPN,162,79
HINT2,163,79
PIN1,163,79
CIAO2B,163,80
SKP1,163,80
KHDC1,164,80
CDKN1A,164,80
CNRIP1,164,81
SRSF3,164,81
CD247,164,81
NUDT11,164,81
GADD45A,165,82
UBD,165,82
MYL2,166,82
MTFP1,166,82
CFL1,166,83
FAM163B,166,83
CCDC12,166,83
PPIL1,166,83
CFL2,166,84
ZBTB8OS,167,84
UFC1,167,84
CETN3,167,84
TCAP,167,85
PTN,168,85
CDKN2C,168,85
DESI1,168,85
DAZAP2,168,86
TMEM31,168,86
DTD2,168,86
BAD,168,86
EREG,169,87
IL36G,169,87
DDIT3,169,87
SNX24,169,87
COX4I1,169,88
HRAS,170,88
TSPO2,170,88
IL26,171,88
BTG1,171,89
LYPD6,171,89
TSEN15,171,89
AK6,172,89
ZG16B,172,90
CETN2,172,90
MRAP,172,90
TPT1,172,90
GCSH,173,91
SSR4,173,91
MRPS25,173,91
FAM180A,173,91
SIVA1,175,92
FOXL2NB,175,92
NDUFS4,175,92
ARF6,175,92
CRYAB,175,93
FTL,175,93
CMTM7,175,93
VKORC1L1,176,93
TPPP3,176,94
TMEM97,176,94
SH3BGR,176,94
PLAC8L1,177,94
ARPC3,178,95
CAV1,178,95
MED28,178,95
DCTD,178,95
RPL11,178,96
OPA3,179,96
TCF21,179,96
SCAND1,179,96
ARF4,180,97
PTTG1IP,180,97
C1orf146,180,97
CCDC115,180,97
RNF5,180,98
TRAPPC3,180,98
ATF3,181,98
FGF12,181,98
ARF1,181,99
HSPB2,182,99
CSN3,182,99
HINT3,182,99
FTH1,183,100
JAGN1,183,100
UBE2H,183,100
TMEM154,183,100
C1orf105,183,101
CBX3,183,101
APOBEC3H,183,101
RAP1A,184,101
RHEB,184,102
CCDC28A,184,102
TNFAIP8L2,184,102
HESX1,185,102
TDRP,185,103
CD99,185,103
FAM219A,185,103
GINS2,185,103
CCDC32,185,104
TRAT1,186,104
TEX36,186,104
RBBP9,186,104
HES3,186,105
NDUFB8,186,105
CBFB,187,105
DHFR,187,105
EID1,187,106
BLOC1S5,187,106
CIB3,187,106
SSX4B,188,106
ARL6IP5,188,107
JOSD2,188,107
KRAS,188,107
ZNF428,188,107
C5orf24,188,108
SSX2,188,108
APOM,188,108
PARK7,189,108
CT45A7,189,109
NRAS,189,109
REEP5,189,109
NDUFB5,189,109
CT45A3,189,110
TP53I11,189,110
CT45A5,189,110
TMEM205,189,110
MZB1,189,111
GPX2,190,111
CYGB,190,111
OVOL3,190,111
COMMD1,190,112
RNF4,190,112
APOBEC3C,190,112
TMEM37,190,112
RBM18,190,113
METTL23,190,113
VSNL1,191,113
RHOH,191,113
RHOG,191,114
TSR2,191,114
CBX5,191,114
CDC42,191,114
ADAT2,191,115
CIB1,191,115
IGSF23,192,115
RAC3,192,115
DMRTC1,192,116
BAX,192,116
FAM210B,192,116
RAC1,192,116
AKIRIN1,192,117
CITED1,193,117
BBC3,193,117
BCL2L2,193,117
IL18,193,118
DDIT4L,193,118
AP3S2,193,118
UBE2E1,193,118
RHOA,193,119
CCDC184,194,119
RPS7,194,119
CSRP3,194,119
BNIP3,194,120
SSU72,194,120
C9orf40,194,120
MARCKSL1,195,120
EXOSC1,195,121
NRSN1,195,121
TMEM126A,195,121
PYCARD,195,121
RAB31,195,122
MYL3,195,122
RER1,196,122
PGLYRP1,196,122
SPRYD7,196,123
NRTN,197,123
TLE5,197,123
RBP1,197,123
TNFAIP8,198,124
LCN2,198,124
C1orf159,198,124
SOCS2,198,124
BCL2L11,198,125
CDKN1B,198,125
SRI,198,125
SAR1A,198,125
ZMAT2,199,126
ICOS,199,126
ZNRD2,199,126
CHMP1B,199,126
C4orf33,199,127
TREML4,200,127
MED29,200,127
GUCA1A,201,127
FKBP11,201,128
ARL4C,201,128
PTPMT1,201,128
SNX10,201,128
ORM1,201,129
RAB1B,201,129
BLOC1S3,202,129
TWIST1,202,129
PTTG1,202,130
TM4SF4,202,130
SAMD10,202,130
AKIRIN2,203,130
TMA16,203,131
GPX1,203,131
DPCD,203,131
ARL6IP1,203,131
RAB29,203,132
RPS5,204,132
CRIP3,204,132
BCL2L10,204,132
ARHGDIA,204,133
HDDC2,204,133
RAB1A,205,133
MAD2L1,205,133
NTAQ1,205,134
HSPB1,205,134
PPP1R2,205,134
ISOC2,205,134
NAT14,206,135
MXD3,206,135
BLVRB,206,135
PTPRCAP,206,135
SNAP25,206,136
TPD52L2,206,136
TEX38,206,136
EBPL,206,136
RALA,206,137
BTF3,206,137
PPIF,207,137
AANAT,207,137
TPD52,207,138
CFAP418,207,138
SPRYD4,207,138
CD3E,207,138
CLDN11,207,139
SIKE1,207,139
MGMT,207,139
RAB7A,207,139
UBE2E3,207,140
NFYB,207,140
RAB6B,208,140
TMEM123,208,140
RAB6A,208,141
