ref_ID,alt_ID,bait_ID,perturbation
JMJD5_1,JMJD5_3,MEOX2,True
MCMBP_1,MCMBP_3,ASL,True
MCMBP_1,MCMBP_3,PRTFDC1,True
UCK1_1,UCK1_5,UCK1,True
CD99L2_1,CD99L2_3,SGTA,True
CD99L2_1,CD99L2_3,SLC30A2,True
HNRPLL_1,HNRPLL_3,TRIM23,True
HNRPLL_1,HNRPLL_3,HNRNPK_ORF2,True
HNRPLL_1,HNRPLL_3,KRT31,True
MIPOL1_1,MIPOL1_4,TTC12,True
HNRPLL_1,HNRPLL_3,KRT40,True
HNRPLL_1,HNRPLL_3,FAM9B,True
HNRPLL_1,HNRPLL_3,KHDRBS2,True
HNRPLL_1,HNRPLL_3,KRTAP10-3,True
PHF21B_1,PHF21B_2,BANP,True
PHF21B_1,PHF21B_2,RCOR3,True
PHF21B_1,PHF21B_3,TFCP2,True
PHF21B_1,PHF21B_3,BANP,True
PHF21B_1,PHF21B_3,RCOR3,True
MIPOL1_1,MIPOL1_2,TTC12,True
ZNF688_1,ZNF688_2,TRIM23,True
HNRPLL_1,HNRPLL_3,MDFI,True
ZNF688_1,ZNF688_2,CRX,True
ZNF688_1,ZNF688_2,GOLGA2_ORF2,True
ZNF688_1,ZNF688_2,KRT31,True
ZNF688_1,ZNF688_2,REL,True
ZNF688_1,ZNF688_2,TRIM27_ORF2,True
ZNF688_1,ZNF688_2,TRIM27_ORF1,True
ZNF688_1,ZNF688_2,TCF4,True
ZNF688_1,ZNF688_2,TCF12,True
ZNF688_1,ZNF688_2,TRAF2,True
ZNF688_1,ZNF688_2,CADPS,True
HNRPLL_1,HNRPLL_3,SSX2IP_ORF2,True
HNRPLL_1,HNRPLL_3,EFHC2,True
HNRPLL_1,HNRPLL_3,GOPC,True
HNRPLL_1,HNRPLL_3,VAC14,True
HNRPLL_1,HNRPLL_3,REL,True
HNRPLL_1,HNRPLL_3,TRIM27_ORF2,True
HNRPLL_1,HNRPLL_3,TRIM27_ORF1,True
HNRPLL_1,HNRPLL_3,SKIL,True
